epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,56.0819,1.23104,2.55539,1.4175,0.77912,0.38158,0.37678,0.30224,0.8001,2.57712,1.02502,0.00021435,0.00021435,0.00021435
2,83.5906,1.03444,1.20957,1.19899,0.37559,0.42982,0.37781,0.29079,1.00907,1.7729,1.14071,0.000436137,0.000436137,0.000436137
3,114.608,1.06096,1.11182,1.18199,0.43161,0.60344,0.46489,0.34589,0.93323,2.1637,1.07451,0.000650851,0.000650851,0.000650851
4,145.322,1.10117,1.17153,1.19622,0.41834,0.47807,0.44105,0.32815,0.96597,2.08978,1.09325,0.000858492,0.000858492,0.000858492
5,172.132,1.04397,1.07501,1.1661,0.53837,0.4152,0.41987,0.2978,1.02812,2.12747,1.1881,0.00105906,0.00105906,0.00105906
6,204.543,1.06599,1.07497,1.19713,0.44482,0.63596,0.52963,0.35655,0.95307,2.77137,1.09113,0.00125255,0.00125255,0.00125255
7,234.738,1.05628,1.02499,1.20051,0.80195,0.5,0.59686,0.42677,1.0047,3.01758,1.12284,0.00129637,0.00129637,0.00129637
8,264.305,1.0882,1.02407,1.20878,0.55849,0.45346,0.48807,0.39032,0.93887,2.43602,1.07347,0.00127427,0.00127427,0.00127427
9,293.94,1.05354,1.03376,1.20556,0.3952,0.56798,0.504,0.37202,0.99857,1.49287,1.10662,0.00125216,0.00125216,0.00125216
10,323.931,1.00351,0.94218,1.15957,0.64516,0.51895,0.57269,0.43574,0.91172,1.08826,1.07472,0.00123006,0.00123006,0.00123006
11,354.211,0.98255,0.92477,1.15655,0.85593,0.62498,0.72008,0.4668,1.01467,1.13426,1.10101,0.00120795,0.00120795,0.00120795
12,382.62,0.97168,0.86996,1.12694,0.70341,0.57744,0.61113,0.43175,0.8873,1.77265,1.03119,0.00118585,0.00118585,0.00118585
13,411.623,0.97257,0.8737,1.13894,0.67006,0.45175,0.52808,0.42825,0.82811,1.25482,1.03506,0.00116374,0.00116374,0.00116374
14,444.121,0.96662,0.87222,1.15485,0.60661,0.66447,0.64448,0.47561,0.84872,1.18981,1.04121,0.00114164,0.00114164,0.00114164
15,472.961,0.90588,0.7982,1.09658,0.70587,0.53289,0.57034,0.44507,0.90222,1.15577,1.07636,0.00111953,0.00111953,0.00111953
16,499.974,0.93544,0.81582,1.11472,0.55274,0.69298,0.62199,0.4677,0.85836,0.8664,1.03351,0.00109743,0.00109743,0.00109743
